id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1125,"gorsun Kids Headphones, Lightweight Stereo Wired Toddler Headphones, Adjustable Headband Children's Headset for Smartphones Computer Pad Earphones(Pink)",headphones,13.99,4.4,5904,B08FMCNHM9,https://www.amazon.com/dp/B08FMCNHM9,https://m.media-amazon.com/images/I/616YP3Kr22L._AC_UL320_.jpg,False,0
1126,Philips SHP2500/37 Full Size Headphone with Volume Control (Discontinued by Manufacturer),headphones,24.99,4.1,5883,B000FTWT00,https://www.amazon.com/dp/B000FTWT00,https://m.media-amazon.com/images/I/51KHZWCbD4L._AC_UL320_.jpg,False,0
1127,"Wireless Earbuds Bluetooth Headphones, Bluetooth 5.3 Earbuds with Immersive HiFi Stereo, 2023 New 48Hrs Wireless Ear Buds Over Ear, HD Mic, Comfortable Sport Earhooks, IP7 Waterproof in Ear Earphones",headphones,24.99,4.4,5878,B0BXG8HLXX,https://www.amazon.com/dp/B0BXG8HLXX,https://m.media-amazon.com/images/I/71pBQHQk19L._AC_UL320_.jpg,False,0
1128,"Voerou Sleep Headphones Bluetooth Headband, Comfy Band Wireless Headphones,Sleeping Headphones with Stereo Speakers-Cool Tech Gifts for Men Women,Perfects for Workout,Running,Yoga,Travel",headphones,15.97,4.3,5876,B09TQHCMG4,https://www.amazon.com/dp/B09TQHCMG4,https://m.media-amazon.com/images/I/A1XSYMOvIJL._AC_UL320_.jpg,False,0
1129,"JBL T110&nbsp;Universal In-Ear Headphones with Remote Control and Microphone, Blue",headphones,12.87,4.3,5864,B01MCZA1N6,https://www.amazon.com/dp/B01MCZA1N6,https://m.media-amazon.com/images/I/51Ww+GgejUL._AC_UL320_.jpg,False,0
1130,"Symphonized iPhone Headphones Wired with Microphone & Volume Control [Apple MFi Certified] — 90% Noise Cancelling Earbuds iPhone, Ear phones Lightning — Earphones for iPhone 14/13/12/11/XR/XS/X/8/7/SE",headphones,39.99,4.3,5848,B07XJWNGPG,https://www.amazon.com/dp/B07XJWNGPG,https://m.media-amazon.com/images/I/71kiVGOrHOL._AC_UL320_.jpg,False,0
1131,"Cleaner Kit for Airpods, Earbuds Cleaning kit for Airpods Pro 1 2 3, Phone Cleaner kit with Brush for Bluetooth Earbuds Cleaner, Wireless Earphones,iPhone,Laptop, Camera (White)",headphones,6.31,4.5,5843,B09M3QT2ZJ,https://www.amazon.com/dp/B09M3QT2ZJ,https://m.media-amazon.com/images/I/81G4bi5EnvL._AC_UL320_.jpg,False,0
1132,"Sony WI-C100 Wireless in-Ear Bluetooth Headphones with Built-in Microphone, White",headphones,34.0,4.2,5832,B09YKYJX7Y,https://www.amazon.com/dp/B09YKYJX7Y,https://m.media-amazon.com/images/I/51p5gda4roL._AC_UL320_.jpg,False,0
1133,"TOZO A2 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black",headphones,14.44,4.3,5806,B0B979SXNT,https://www.amazon.com/dp/B0B979SXNT,https://m.media-amazon.com/images/I/61hNkXYv1kL._AC_UL320_.jpg,False,0
1134,Sony Foldable Headphones MDR-ZX310 R - Metallic Red,headphones,46.0,4.4,5804,B00I3LUY68,https://www.amazon.com/dp/B00I3LUY68,https://m.media-amazon.com/images/I/71yRkWqq1nL._AC_UL320_.jpg,False,0
1135,"Sakar Kids Safe Over The Ear Headphones, Volume Limiter for Developing Ears, 3.5MM Stereo Jack, Recommended for Ages 3-9",headphones,26.16,4.2,5801,B00ELPIWVY,https://www.amazon.com/dp/B00ELPIWVY,https://m.media-amazon.com/images/I/818UZY9FpJL._AC_UL320_.jpg,False,0
1136,"Beats Flex Wireless Earphones – Apple W1 Headphone Chip, Magnetic Earbuds, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Black (Latest Model) (Renewed)",headphones,42.97,4.4,5760,B08XC38TM3,https://www.amazon.com/dp/B08XC38TM3,https://m.media-amazon.com/images/I/61x9MifSEhL._AC_UL320_.jpg,False,0
1137,Panasonic Clip Headphones Blue RP-HZ47-A (Japan Import),headphones,12.0,4.2,5741,B000GH2QYK,https://www.amazon.com/dp/B000GH2QYK,https://m.media-amazon.com/images/I/61+Wr5yYtyL._AC_UL320_.jpg,False,0
